trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
99,False,"{'a': 0.1, 'e': 0.8891911526253609}",25,10,-39.50439693593741,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 0}",1
100,False,"{'a': 0.1, 'e': 0.8390715290764524}",30,0,-124.0920215311874,"{0: 22, 1: 0, 2: 5, 3: 1, 4: 2}",0
101,False,"{'a': 0.1, 'e': 0.7805681801691826}",20,9,-21.80990098688892,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
102,False,"{'a': 0.1, 'e': 0.714265652027199}",30,16,-51.73498118909235,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
103,False,"{'a': 0.1, 'e': 0.6408264175949933}",30,0,-104.87386000032132,"{0: 21, 1: 0, 2: 7, 3: 1, 4: 1}",0
104,False,"{'a': 0.1, 'e': 0.5609842574272288}",20,0,-28.164736726605888,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
105,False,"{'a': 0.1, 'e': 0.47553692799599256}",30,15,12.993947121973372,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.1, 'e': 0.385338190771828}",35,0,-40.34976771864329,"{0: 30, 1: 1, 2: 2, 3: 1, 4: 1}",0
107,False,"{'a': 0.1, 'e': 0.29128928172134383}",30,4,21.247954015516513,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.1, 'e': 0.1943299064553348}",30,17,21.525642166239226,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.1, 'e': 0.09542885100095065}",30,12,29.94229724836526,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.1, 'e': 0.004425697988050785}",25,3,-6.590862072139023,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
111,False,"{'a': 0.1, 'e': 0.10423602686569865}",25,3,15.53892599256924,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
112,False,"{'a': 0.1, 'e': 0.20300486381875213}",20,0,-4.724762069088042,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
113,False,"{'a': 0.1, 'e': 0.2997453432770149}",25,0,-20.086129987337703,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
114,False,"{'a': 0.1, 'e': 0.3934908663478909}",20,0,-43.907235757268,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
115,False,"{'a': 0.1, 'e': 0.4833047587530059}",20,0,10.263881397246303,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
116,False,"{'a': 0.1, 'e': 0.568289629767975}",25,13,-74.53127232678425,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 1}",1
117,False,"{'a': 0.1, 'e': 0.6475963386538773}",20,10,-15.133920094287607,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
118,False,"{'a': 0.1, 'e': 0.7204324789908387}",20,0,2.0371042030659208,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
119,False,"{'a': 0.1, 'e': 0.7860702961410393}",25,18,13.312849549990984,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.1, 'e': 0.8438539587324921}",25,10,-69.74560752241241,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 1}",1
121,False,"{'a': 0.1, 'e': 0.8932061115093233}",20,0,-109.65609431146976,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
122,False,"{'a': 0.1, 'e': 0.9336336440746379}",20,0,-39.06897072040318,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
123,False,"{'a': 0.1, 'e': 0.9647326178866098}",25,0,-166.19556517634334,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
124,False,"{'a': 0.1, 'e': 0.9861923022788637}",30,0,-143.97093492652482,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
125,False,"{'a': 0.1, 'e': 0.9977982791785807}",25,0,-160.05209763736931,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
126,False,"{'a': 0.1, 'e': 0.9994345855010047}",20,0,-35.847153745493365,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
127,False,"{'a': 0.1, 'e': 0.991084871814253}",20,6,-110.25386565072014,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 2}",1
128,False,"{'a': 0.1, 'e': 0.9728325656974354}",30,0,-161.52312015640032,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 3}",0
129,False,"{'a': 0.1, 'e': 0.9448600381598606}",20,0,-59.30634250896597,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
130,False,"{'a': 0.1, 'e': 0.9074467814501962}",20,0,-139.74220826010938,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
131,False,"{'a': 0.1, 'e': 0.8609666164623057}",20,0,-17.12300481598761,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
132,False,"{'a': 0.1, 'e': 0.8058839576404497}",20,0,-144.43846018880768,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
133,False,"{'a': 0.1, 'e': 0.7427491727036695}",30,0,-200.7214106926223,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
134,False,"{'a': 0.1, 'e': 0.6721930835534681}",20,0,-97.80025090578528,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
135,False,"{'a': 0.1, 'e': 0.594920663309892}",20,13,13.173849003635027,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.1, 'e': 0.5117039924531475}",20,0,-0.03723140281646864,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
137,False,"{'a': 0.1, 'e': 0.42337454445066386}",30,3,-101.96834123401334,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 3}",1
138,False,"{'a': 0.1, 'e': 0.33081487794904696}",25,8,11.062968418436851,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.1, 'e': 0.23494981853982308}",30,9,11.597707184865808,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.1, 'e': 0.1367372182078336}",20,13,14.318802104673237,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.1, 'e': 0.03715838479082463}",20,14,9.80237535587412,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.1, 'e': 0.06279172292408354}",30,19,17.747655818497137,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.1, 'e': 0.16211443649971827}",20,14,-10.862232544025966,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
144,False,"{'a': 0.1, 'e': 0.25981735621375585}",20,0,-19.774233081273202,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
145,False,"{'a': 0.1, 'e': 0.354924266788705}",30,14,-26.51604005580289,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.1, 'e': 0.4464848914122672}",20,5,-0.6627590380713015,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.1, 'e': 0.5335843865891192}",20,0,-79.01022616542147,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
148,False,"{'a': 0.1, 'e': 0.6153524829547208}",20,0,-118.41957120198343,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 3}",0
149,False,"{'a': 0.1, 'e': 0.6909721807191258}",20,0,-60.036828616861165,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
150,False,"{'a': 0.1, 'e': 0.7596879128588213}",30,4,-115.84650132001505,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 1}",1
151,False,"{'a': 0.1, 'e': 0.8208130944926693}",25,5,-49.98037019939418,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
152,False,"{'a': 0.1, 'e': 0.873736983011081}",20,0,-117.07029153811342,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
153,False,"{'a': 0.1, 'e': 0.9179307804142932}",20,7,-117.14777618483616,"{0: 6, 1: 3, 2: 1, 3: 1, 4: 2}",1
154,False,"{'a': 0.1, 'e': 0.9529529168871803}",20,0,-42.24762727228707,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
155,False,"{'a': 0.1, 'e': 0.9784534628188842}",20,12,-2.299922561263273,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.1, 'e': 0.9941776251838154}",25,0,-160.25876552939732,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
157,False,"{'a': 0.1, 'e': 0.9999682933493399}",20,0,-71.5133905925959,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
158,False,"{'a': 0.1, 'e': 0.9957676088732885}",30,7,-142.94241021631402,"{0: 14, 1: 1, 2: 4, 3: 2, 4: 2}",1
159,False,"{'a': 0.1, 'e': 0.9816175436063844}",20,0,-107.82398309149194,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
160,False,"{'a': 0.1, 'e': 0.9576594803233847}",20,0,-174.91662683636483,"{0: 12, 1: 2, 2: 0, 3: 3, 4: 3}",0
161,False,"{'a': 0.1, 'e': 0.9241328000731296}",30,0,-101.86556778854762,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 3}",0
162,False,"{'a': 0.1, 'e': 0.8813724903622346}",20,0,-14.901586907914673,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
163,False,"{'a': 0.1, 'e': 0.829805798070649}",25,0,-108.72246660010713,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
164,False,"{'a': 0.1, 'e': 0.7699479605420695}",25,0,-145.22355323366344,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
165,False,"{'a': 0.1, 'e': 0.7023970575027135}",25,0,-71.20713539806259,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
166,False,"{'a': 0.1, 'e': 0.627828035246386}",20,0,-47.99939889389552,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
167,False,"{'a': 0.1, 'e': 0.5469859627942356}",20,5,-80.15650728430221,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 2}",1
168,False,"{'a': 0.1, 'e': 0.46067858741136253}",20,0,-114.3374997852946,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
169,False,"{'a': 0.1, 'e': 0.3697682638631698}",30,0,27.510679014144475,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
170,False,"{'a': 0.1, 'e': 0.27516333805159693}",25,7,34.66710187574883,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.1, 'e': 0.17780907112311564}",30,20,-1.812622122358055,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
172,False,"{'a': 0.1, 'e': 0.07867819473184015}",20,6,20.314027954612015,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.1, 'e': 0.021238808173646012}",25,14,21.86768807667122,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.1, 'e': 0.12094359992847767}",25,8,18.755948407654117,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.1, 'e': 0.2194399632114593}",20,5,2.005397988119558,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
176,False,"{'a': 0.1, 'e': 0.31574375491924334}",25,0,-73.08357925475433,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
177,False,"{'a': 0.1, 'e': 0.4088927393988798}",25,15,6.626416713145233,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.1, 'e': 0.49795620278841546}",30,12,-66.94801274198777,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
179,False,"{'a': 0.1, 'e': 0.5820442524021253}",30,0,-143.54812674941596,"{0: 19, 1: 0, 2: 9, 3: 0, 4: 2}",0
180,False,"{'a': 0.1, 'e': 0.6603167082440802}",25,0,-46.327028308186314,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
181,False,"{'a': 0.1, 'e': 0.7319914978089467}",20,0,-88.11341052176464,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
182,False,"{'a': 0.1, 'e': 0.7963524702919231}",25,5,-69.2504842120284,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",1
183,False,"{'a': 0.1, 'e': 0.8527565521308732}",30,0,-110.52474021251227,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
